,Unnamed: 0,Unnamed: 0.1,mid,name,sex,level,has_fans_badge,title,has_live_room,zone,following,follower,follower_mid_list
411,411,8188433,8188433,TED君学演讲,保密,6,True,bilibili 知名科普UP主,1,"{'影视': 6, '知识': 769, '娱乐': 2}",24,1116578,"[14110780, 489412051, 3433092, 54992199, 2989565, 585267, 394067394, 37090048, 11336264, 7458285, 221648]"
412,412,250648682,250648682,红豆稀饭中,保密,6,True,bilibili 知名鬼畜UP主,1,"{'鬼畜': 173, '生活': 2, '影视': 1, '音乐': 4, '知识': 1}",233,1114274,"[23604445, 1398957, 748709, 7714, 515993, 407045223, 5374954, 290548469, 11997177, 397076059, 24314825, 250475408, 7792521, 59905809, 1774758, 3345720, 9068441, 51766, 2192108, 40966108, 19071708, 30222764, 7980111, 20615621, 6171645, 8034163, 96070394, 375375, 26311441, 37090048, 163637592, 1526101, 3379951, 8047632, 208259, 548824, 398510, 808171, 235555226, 185546, 777536, 7487399]"
413,413,389088,389088,KB呆又呆,男,6,True,bilibili 知名UP主、直播签约主播,1,"{'动画': 1, '舞蹈': 1, '时尚': 1, '生活': 42, '美食': 2, '音乐': 1, '游戏': 247}",227,1110640,"[590490400, 383578614, 7552204, 3957971, 178029850, 5970160, 347667464, 19642758, 15773384, 9617619, 14871346, 13826185, 7655977, 25910292, 67141, 14254182, 9008159, 295711424, 483311105, 279583114, 4249401, 14804670, 2200736, 2223018, 403748305, 5294454, 286631646, 402574397, 927687, 1724598, 241832237, 37663924, 423442, 686127, 294081438, 97177641, 27756469, 444348914, 53456, 617285, 338748561, 258150656, 38351330, 269558, 946974, 163637592, 375375, 52250, 391679, 808171, 437316738, 51896064, 10558098, 183430, 13354765, 11336264, 61369218, 390461123, 320491072, 280793434, 35359510, 290526283, 7487399, 433351, 3760773, 250858633, 234256, 2403047, 7349, 1770706, 10139490, 562197, 235555226, 295723, 419220, 275981, 86644929, 13705279, 25876945, 1577804, 777536, 585267, 7980111, 16836724, 32365949, 11073, 4162287, 110631, 2206456, 2929048, 168598, 20646254, 1605721, 3766866, 748709, 423895, 374377, 256763, 234782, 546195, 43536, 122879]"
414,414,26253404,26253404,小豆蔻儿,女,6,True,bilibili 知名UP主,1,"{'舞蹈': 2, '时尚': 169, '生活': 144, '美食': 3, '音乐': 3, '游戏': 2}",3,1109638,[2460656]
415,415,386165680,386165680,奥地利的小胡,男,6,True,bilibili 知名美食UP主,1,"{'生活': 22, '美食': 163}",18,1109764,"[280793434, 25807917, 235555226, 2306780, 946974, 15773384, 37090048]"
416,416,472129071,472129071,长得像美食博主的女人,女,6,True,bilibili 知名美食UP主,1,"{'生活': 3, '美食': 309}",45,1118282,"[17546432, 19642758, 604003146, 14583962, 79577853, 34044873, 382193067, 546195, 10330740, 386165680, 353539995, 345630501, 352637817, 37663924, 517327498, 26139491, 454755309, 235555226, 62540916, 9824766, 216156027, 481470422, 29329085, 4474705, 13354765, 19577966, 270105105, 7552204, 2, 18202105, 37090048, 280793434, 290526283]"
417,417,203708804,203708804,肌肉山山,保密,6,True,bilibili 知名UP主,1,"{'生活': 250, '影视': 1, '美食': 7, '娱乐': 1}",78,1107058,"[25515594, 92568184, 90361813, 3957971, 388699948, 37090048, 28642491, 406745134, 41273726, 99157282, 7552204, 416128940, 279583114, 13354765, 32786875, 21330948, 33918431, 9824766, 777536, 546195, 13934589, 8366990, 113362335, 147166910, 259333, 434378423, 4029133, 66391032, 227107602, 16853896, 7956629, 19642758, 26366366, 235555226]"
418,418,39922227,39922227,付曦冉,保密,6,True,bilibili 知名时尚UP主,1,"{'时尚': 243, '生活': 37, '美食': 2, '游戏': 1}",276,1107483,"[42870908, 55723103, 347667464, 14946689, 430926487, 395936853, 249491937, 16419172, 36267054, 517327498, 64925986, 17171565, 321173469, 27218150, 52250, 280793434, 25782796, 285499073, 480366389, 13826185, 11870568, 369750017, 493570956, 604003146, 21876627, 587840959, 3331521, 37663924, 13354765, 5970160, 1858682, 151365295, 546195, 456664753, 39627524, 18020792, 327750329, 49246269, 414641554, 397076059, 75912367, 17075276, 450595813, 96852523, 55775966, 235555226, 62540916, 265059948, 50329118, 7552204, 95494347, 92973341, 16206007, 9824766, 34189415, 37090048, 163637592, 314466447, 33523307, 270355850, 216156027, 26139491, 21837784, 927587, 6229277, 11278782, 7875104, 13177698, 25954179, 19696996, 240769971, 562197, 7792521, 6534506, 89847338, 22344481, 9170987, 176037767, 8578857, 113362335, 56065480, 206840230, 1532165, 39915398, 34149649, 19577966, 3032988, 164139557, 4469745, 38740321, 167202533, 6154152]"
419,419,419738808,419738808,疯狂小杨哥,保密,6,False,疯狂小杨哥官方账号，搞笑UP主,0,{'生活': 40},9,1120866,"[37090048, 259333, 486183, 777536, 4469745]"
420,420,46708782,46708782,鲁大能,男,6,True,bilibili 知名游戏UP主、直播签约主播,1,"{'生活': 6, '数码': 1, '游戏': 292}",69,1104632,"[90361813, 10558098, 321173469, 448039667, 419738808, 9617619, 23604445, 174501086, 927687, 641975239, 6875363, 1543732, 908383, 5970160, 280793434, 37663924, 79577853, 9008159, 35359510, 25150941, 7450650, 51896064, 617285, 28642491, 21330948, 13354765, 19738891, 103416759, 43976732, 129240403, 3682229, 7349, 2206456, 122879, 433351, 548824, 168598, 7792521, 4162287, 7487399, 546195, 1577804, 6574487, 2929048, 1565155, 2403047]"
421,421,406745134,406745134,阿银哦哦,保密,6,True,bilibili 知名搞笑UP主,1,"{'舞蹈': 1, '生活': 141, '影视': 1, '美食': 1, '游戏': 16, '娱乐': 1}",99,1098807,"[7552204, 44688866, 52250, 8366990, 406517693, 13354765, 8784855, 13118294, 3957971, 2378908, 632887, 11870568, 203708804, 3116281, 416128940, 319438468, 5374954, 9824766, 1962633, 279583114, 808171, 42619059, 7655977, 353539995, 43976732, 75547577, 36046546, 41273726, 154021609, 491593210, 7956629, 92568184, 1654470, 5294454, 113362335, 20951119, 390461123, 36825256, 22141287, 147166910, 20892823, 430926487, 26240675, 4578433, 285499073, 562197, 19642758, 178029850, 5970160, 5848380, 28642491, 4223935, 1848018, 4029133, 37291782, 22298920, 337521240, 2920960]"
422,422,5870268,5870268,三代鹿人,男,6,True,bilibili 知名影视UP主,1,"{'生活': 29, '国创': 2, '影视': 28, '音乐': 1, '知识': 5, '游戏': 1, '娱乐': 3}",96,1116189,"[40966108, 14506388, 29296192, 163637592, 15385187, 279583114, 7487399, 777536, 27218150, 10119428, 6739643, 203337614, 79061224, 154021609, 517327498, 63231, 90361813, 406517693, 449825072, 37663924, 271442527, 471723540, 474521380, 6457791, 454719565, 43645887, 3743849, 590490400, 927587, 106685726, 396848107, 562197, 14583962, 1643718, 208259, 437316738, 7552204, 883968, 258150656, 946974, 21876627, 3386870, 3433092, 62540916, 98627270, 235555226, 37090048, 120586, 2743119]"
423,423,34858100,34858100,瞎看什么,保密,6,False,bilibili 知名UP主,1,"{'生活': 6, '影视': 35}",0,1092635,[]
424,424,11264229,11264229,萝王2号,保密,6,True,bilibili 知名科普UP主,1,"{'鬼畜': 1, '生活': 119, '影视': 1, '知识': 216}",99,1088648,"[2929582, 7817472, 72270557, 4223935, 17171565, 258150656, 320491072, 344849038, 18706318, 3379951, 208259, 19642758, 927587, 5581898, 22500342, 30643878, 2, 7875104, 28822227, 7487399, 777536, 97177641, 4162287, 15834498, 2522486, 3562949, 43976732]"
425,425,11997177,11997177,三木刃,男,6,True,bilibili 知名UP主,1,"{'鬼畜': 86, '生活': 1, '影视': 1}",113,1088835,"[438880209, 26311441, 452309333, 489412051, 51705359, 7980111, 25422790, 1791101, 11730197, 1893045, 234256, 9117212, 306895558, 375375, 1770706, 265578856, 250648682, 515993, 59905809, 5374954, 51896064, 9068441, 27218150, 8034163, 51766, 79061224, 20615621, 94281836, 23604445, 1526101, 283538, 96070394, 123938419, 19071708, 7792521, 6171645, 30222764, 2192108, 58852835, 398510, 24314825, 7714, 40966108, 21837784, 17819768]"
