mid,用户名,fans,following
344447169,体态大师App,793481,4
483311105,先看评测,793136,16
216844,玩偶菌,793123,60
110631,宫本狗雨,792140,63
259333,矮乐多Aliga,790830,65
213845897,天才简史,788637,25
434346657,北京大学,788569,38
8112659,胥渡吧,787864,1
80991539,聊点什么叭,787849,26
37974444,黑马程序员,787211,3
270355850,何止电影,786404,9
419872064,老饭骨,786068,4
95494347,狠毒女孩Money,785075,113
8581342,浅野菌子,784296,125
15377173,烟季,783716,100
14871346,硬件茶谈,783187,91
125269176,乐乐课堂,780252,3
4397552,猫猫村长,779475,78
12434430,LinusTechTips,777521,4
12855005,柿子菌meow,776053,6
265578856,叫我tina小姐姐,775482,31
21306228,非我执笔,775123,5
33775467,人民网,775102,1
355596637,一鹿有车,775059,8
927687,折腾5号,774435,174
2829782,何必Hebee,774325,158
67141,C酱です,773883,68
348630592,十分绘画,770897,118
605205509,广西吴恩师,769730,14
102984190,独立菌儿,768579,44
322010320,阿神的Bili官方頻道,768505,9
2177677,出格字幕组,768303,11
25503580,布锅锅,768070,196
2929048,网易暴雪游戏视频,767660,32
198748058,风声君,766847,163
12761764,骚男丶注意马叉虫,765637,10
434376696,阿Test正经比比,765516,87
149558293,越哥说电影,764273,71
13337125,GoldenEggs,763755,148
51705359,亚军频道,761297,180
391774002,NASA宇宙,760395,24
2929582,折纸的白叔,759656,91
37746255,多拉的十九N,758674,36
356798697,游戏X博士,758276,108
339800866,双生视界,757094,3
1438811,请叫我王胖子,756657,99
374716732,渔人阿烽,756131,6
39915398,MrYang杨家成,754894,9
69940927,吃饭啦光小强,753682,72
159122,惜缘、过去,753488,80
16720403,pcyxjy,753412,32
35562588,花里胡哨草履虫,753019,131
324879,CRAZY262,751772,723
241832237,一枝南南,751513,43
346353480,济公爷爷_游本昌,747803,10
4050333,鬼影SAMA,747452,83
14506388,哎呀我去刘老师,747126,137
20163112,猫神辣椒酱,744218,13
11139681,街头艺人小高,743079,1725
142371069,米国脱口秀,741198,8
353230307,Da圣音乐,741067,43
361471422,Re0手游,738750,26
25356402,Junn杰俊,738290,103
17901717,马戏糍,737376,177
80900494,捕月说,737173,119
364605395,暗部世界,735444,3
5128788,ElenaLin_青青,730999,53
50111839,小琨爱小蛊,730027,618
19369243,小喵西さま,729513,54
103073257,小饭堂视频,729442,160
473837611,新华社,729136,27
275981,小绝,728306,35
234782,祈Inory,728092,68
303517323,五金少女,726658,2
38053181,oooooohmygosh,724691,146
67907025,猴博士爱讲课,723435,0
168687092,鸽子不咕啊,721925,352
5771902,波靖仔,721887,367
359516438,TED超级演讲家,719432,45
249491937,GLR_G,719142,24
474853499,李如儒也是李蠕蠕,718998,5
198297,进击的冰糖,716753,659
42870908,网不红萌叔Joey,715801,25
9068441,冰攻厂BeSo,715695,149
19419058,10后找人带,714908,1972
41683,TranScend全盛舞蹈工作室,714864,13
388063772,GoDlike_神超,714369,18
2691287,小巫酱w,714272,9
299732210,-TS映画-,713341,278
19859602,Real麦克老师,713293,50
16671656,空卡空卡空空卡,712466,71
80304,亚食人,712451,230
14328316,艺画开天,712222,123
38829,本气黑猫,711357,640
3218685,小满家的晚饭,711053,4
410964,胖雪人Ozu,711048,692
20646254,暴走吧bilibili,710721,4
249608727,杨可爱Ukulele,710661,277
15877140,都说先生,709323,2
36046546,时空小涵,708513,68
26311441,一咸菊菊,708175,51
301940,Gluneko,707784,12
3211302,艾尔十六,707140,648
548824,鸡鸡·夫斯基,706228,252
13164144,魔法Zc目录,705647,499
3386870,轩邈Elias,705008,209
250475408,阿里巴巴,704728,683
388576777,英语的平行世界,703508,34
386043247,腾格尔,703316,27
491593210,姬一元,703259,101
32741563,非人哉工作室,702251,39
10942427,香喷喷的小烤鸡,700097,21
6457791,EverydayOneCat,699450,12
3295,新月冰冰,699403,211
20615621,采紫葳的凌霄子,698168,990
429618480,白客,697131,2
12394995,粗犷毛线君,696820,586
88773777,野生冻物wildpudding,696698,4
17244618,和之梦放送,695345,9
451066708,新科娘Official,694654,22
99336697,树根龙门阵,694616,93
27580511,一只南音呀,694096,90
9170987,一只老刘头,692685,92
72956117,panpiano,691257,2
206840230,科幻Fans布玛,690922,39
287462147,雪鱼探店,690525,7
7064298,声鱼片儿,690190,86
75912367,陈吃饭_,688693,173
900171,果哝双子,688507,123
13807284,就是气气,687779,428
14751040,怒九笑,687031,230
300159010,印度胖亚瑟,686407,144
