,mid,name,sex,level,has_fans_badge,title,has_live_room,zone
265059948,265059948,温柔JUNZ,保密,6,True,bilibili 2019百大UP主、专栏优质UP主,1,"{'生活': 16, '影视': 1, '知识': 16}"
686127,686127,籽岷,男,6,True,bilibili 知名游戏UP主,1,"{'动画': 4, '鬼畜': 1, '生活': 45, '纪录片': 3, '影视': 3, '数码': 9, '知识': 23, '游戏': 3925}"
11073,11073,hanser,女,6,True,bilibili 2018百大UP主、知名UP主,1,"{'动画': 19, '时尚': 1, '生活': 13, '美食': 4, '音乐': 169, '游戏': 6}"
423895,423895,怕上火暴王老菊,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 1, '时尚': 3, '生活': 4, '美食': 4, '音乐': 2, '知识': 1, '游戏': 607}"
67141499,67141499,大漠叔叔,男,6,True,Vlog领域优质UP主，大漠叔叔官方账号,1,"{'生活': 245, '纪录片': 20, '影视': 4, '美食': 35, '知识': 6}"
13118294,13118294,超级神奇的木偶,男,6,True,bilibili 知名游戏UP主,1,"{'美食': 1, '游戏': 30}"
416128940,416128940,在下哲别,保密,6,True,bilibili 2019年度新人奖UP主、2019年度原创栏目奖UP主,1,"{'生活': 105, '音乐': 1, '游戏': 4, '娱乐': 1}"
455876411,455876411,TheRock_Johnson,保密,6,False,好莱坞知名演员道恩-强森(巨石强森),0,"{'生活': 3, '影视': 2, '音乐': 1, '娱乐': 17}"
26366366,26366366,哔哩哔哩活动,保密,6,False,哔哩哔哩活动相关官方账号,1,"{'动画': 13, '鬼畜': 1, '生活': 14, '国创': 3, '影视': 1, '音乐': 1}"
279583114,279583114,老坛胡说,保密,6,True,bilibili 2019百大UP主、2019年度原创栏目奖UP主,1,"{'生活': 110, '美食': 74, '音乐': 12, '游戏': 3, '娱乐': 1}"
43536,43536,黑桐谷歌,保密,6,True,bilibili 2019百大UP主、直播签约主播,1,"{'生活': 7, '数码': 2, '游戏': 1078}"
353840826,353840826,公主连结ReDive,保密,6,True,公主连结ReDive手游官方账号,1,"{'音乐': 1, '游戏': 110}"
90361813,90361813,三十六贱笑,男,6,True,bilibili 知名UP主,1,"{'动画': 83, '生活': 7, '游戏': 7}"
295723,295723,★⑥檤轮囬★,保密,6,True,bilibili 2018百大UP主、知名UP主,1,"{'动画': 207, '舞蹈': 7, '时尚': 1, '生活': 124, '国创': 13, '影视': 77, '美食': 9, '音乐': 20, '知识': 1, '游戏': 84, '娱乐': 2}"
10462362,10462362,天天卡牌,男,6,True,bilibili 2019百大UP主、知名游戏UP主,1,"{'鬼畜': 5, '生活': 5, '美食': 1, '音乐': 4, '游戏': 896}"
